"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"37","4501","trtexec","127.0.0.1","volta_sgemm_64x32_sliced1x4_nn","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","17.48"
"38","4501","trtexec","127.0.0.1","void splitKreduce_kernel<float, float, float, float, true, false>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, void*, long, float*, int*)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","3.87"
"38","4501","trtexec","127.0.0.1","void splitKreduce_kernel<float, float, float, float, true, false>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*, void*, long, float*, int*)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.52"
"39","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","2.72"
"39","4501","trtexec","127.0.0.1","generatedNativePointwise","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","0.23"
"40","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","42.94"
"40","4501","trtexec","127.0.0.1","void implicit_convolve_sgemm<float, float, 1024, 5, 5, 3, 3, 3, 1, false, false, true>(int, int, int, float const*, int, float*, float const*, kernel_conv_params, unsigned long long, int, float, float, int, float const*, float const*, bool, int, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","13.58"
"41","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.67"
"41","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<3, float, float, float, 256, (cudnnGenericOp_t)0, (cudnnNanPropagation_t)0, 0>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","lts__t_sectors.avg.pct_of_peak_sustained_elapsed","%","13.20"
"42","4501","trtexec","127.0.0.1","void op_generic_tensor_kernel<1, float, float, float, 256, (cudnnGenericOp_t)8, (cudnnNanPropagation_t)1, 1>(cudnnTensorStruct, float*, cudnnTensorStruct, float const*, cudnnTensorStruct, float const*, float, float, float, cudnnActivationStruct, reducedDivisorArray, int)","2021-Sep-18 06:35:44","1","41","Command line profiler metrics","gpu__time_duration.sum","usecond","4.51"
